"Add","Добавить"
"ALL","ВСЕ"
"ANY","ЛЮБОЕ"
"Apply","Применить"
"by","до"
"contains","содержит"
"Description: %s","Описание: %s"
"does not contain","не содержит"
"equals or greater than","равно или больше чем"
"equals or less than","равно или меньше чем"
"Expire at: %s","Истекает: %s"
"FALSE","ЛОЖЬ"
"greater than","больше чем"
"If %s of these conditions are %s:","Если %s из этих условий %s:"
"Invalid discount amount.","Неверная величина скидки."
"is","равно"
"is not","не равно"
"is not one of","не одно из"
"is one of","одно из"
"less than","меньше чем"
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"Name: %s","Название: %s"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Open Chooser","Выбрать"
"Perform following actions","Выполнить следующие действия"
"Please choose a condition to add...","Пожалуйста, выберите условие для добавления..."
"Please choose an action to add...","Пожалуйста, выберите действие для добавления..."
"Remove","Удалить"
"Start at: %s","Начиная с: %s"
"to","до"
"TRUE","ИСТИНА"
