" The customer doesn't exist in the system anymore"," Клиент больше не существует в системе"
"""%s"" coupon code is not valid.","Код купона ""%s"" неверный."
"* - Enter custom price excluding tax","* - Введите другую цену без учёта налога"
"* - Enter custom price including tax","* - Введите другую цену включая налог"
"%s","%s"
"%s / %s rate:","%s / %s курс:"
"%s for %s","%s для %s"
"%s order(s) successfully canceled","Заказов успешно отменено: %s"
"%s order(s) successfully put on hold","Заказов успешно отложено: %s"
"%s order(s) successfully released from holding status","Заказов успешно возобновлено из состояния ""отложен"": %s"
"About This Order:","О заказе:"
"About Your Order","О вашем заказе"
"Account Information","Информация об учётной записи"
"Action","Действие"
"Actions","Действия "
"Add","Добавить"
"Add a gift message for <strong>each gift item</strong>","Добавить поздравительное сообщение для <strong>каждого товара</strong>"
"Add a gift message for the <strong>entire order</strong>","Добавить поздравительное сообщение для <strong>всего заказа</strong>"
"Add comment to order","Добавить комментарий к заказу"
"Add Gift Messsage","Добавить поздравительное сообщение"
"Add New Address","Добавить новый адрес"
"Add new comment to shipment","Добавит новый комментарий к отправлению"
"Add new tracking number","Добавить новый номер отслеживания"
"Add Order Comments","Добавить комментарии к заказу"
"Add Products","Добавить товары"
"Add Selected Product(s) to Option","Добавить выбранные товары в вариант"
"Add Selected Product(s) to Order","Добавить выбранные товары в заказ"
"Add to Cart","Добавить в корзину"
"Add To Order","Добавить к заказу"
"Add Tracking Number","Добавить номер отслеживания"
"Address","Адрес"
"Adjustment Fee","Корректировка оплаты"
"Adjustment Refund","Корректировка возврата"
"Allow Reorder","Разрешить перезаказ"
"Amount","Сумма"
"Append Comments","Добавить комментарии"
"Apply","Применить"
"Apply Coupon Code","Применить код купона"
"Are you sure you want to cancel this order?","Вы действительно хотите отменить этот заказ?"
"Are you sure?","Вы уверены?"
"Are you sure? This order will be cancelled and a new one will be created instead","Вы уверены? Этот заказ будет отменён, а вместо него будет создан новый"
"Back to My Orders","Вернуться к Моим заказам"
"Backordered","Зарезервировано"
"Bill to First name","Оплачено на имя"
"Bill to Last name","Оплачено на фамилию"
"Bill to Name","Оплата на имя"
"Billing Address","Адрес плательщика"
"Buy %s for price %s","Куплено %s за %s"
"Can not add order history.","Невозможно добавить историю заказа."
"Can not create block ""%s""","Невозможно создать блок ""%s"""
"Can not do invoice for order.","Невозможно создать счёт к заказу."
"Can not do shipment for order.","Невозможно создать доставку для заказа."
"Can not register existing creditmemo","Невозможно зарегистрировать существующий возврат платежа"
"Can not register existing invoice","Невозможно зарегистрировать существующий платёж"
"Can not register existing shipment","Невозможно зарегистрировать существующую доставку"
"Can\'t get order instance","Невозможно получить экземпляр заказа"
"Cancel","Отменить"
"Cancel invoice","Отменить счёт"
"Cancel order","Отменить заказ"
"Canceled","Отменён"
"Cannot create an empty shipment.","Невозможно создать пустую доставку"
"Capture","Приём оплаты"
"Capture Amount","Capture Amount"
"Capture invoice","Capture invoice"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Carrier","Перевозчик"
"Change Status","Изменить статус"
"Change status, add comments","Изменить статус, добавить комментарии"
"Checkout totals sort order","Порядок сортировки итогов при оформлении заказа"
"Click to change shipping method","Нажмите для изменения метода доставки"
"Closed","Закрыт"
"Comment","Комментарий "
"Comment Text","Текст комментария"
"Comments","Комментарии"
"Comments History","История комментариев"
"Complete","Завершён"
"Country","Страна"
"Coupons","Купоны"
"Create","Создать"
"Create New Customer","Создать нового клиента"
"Create new invoice for order","Создать новый счёт к заказу"
"Create New Order","Создать новый заказ"
"Create New Order for %s","Создать новый заказ для %s"
"Create New Order for %s in %s","Создать новый заказ для %s в %s"
"Create New Order for New Customer","Создать новый заказ для нового клиента"
"Create New Order for New Customer in %s","Создать новый заказ для нового клиента в %s"
"Create new shipment for order","Создать новую доставку для заказа"
"Create Shipment","Создать доставку"
"Created At","Дата создания"
"Credit Memo","Возврат платежа"
"Credit Memo #","Возврат платежа #"
"Credit Memo # ","Возврат платежа # "
"Credit Memo Comment Email Sender","Письмо с комментарием к возврату платежа. Отправитель"
"Credit Memo Comment Email Template","Письмо с комментарием к возврату платежа. Шаблон"
"Credit Memo Comment Email Template for Guest","Письмо с комментарием к возврату платежа. Шаблон для гостя"
"Credit Memo Comments","Комментарии к возврату платежа"
"Credit Memo email not sent","Письмо о возврате платежа не было отправлено"
"Credit Memo Email Sender","Письмо о возврате платежа. Отправитель"
"Credit Memo email sent","Письмо о возврате платежа было отправлено"
"Credit Memo Email Template","Письмо о возврате платежа. Шаблон"
"Credit Memo Email Template for Guest","Письмо о возврате платежа. Шаблон для гостя"
"Credit Memo Update","Изменение возврат платежа"
"Credit Memo Update for Guest","Изменение возврат платежа для гостя"
"Credit Memos","Возвраты платежей"
"Creditmemo","Возврат платежа"
"Custom Options","Настраиваемые варианты"
"Custom Price","Другая цена"
"Custom Value","Другое значение"
"Customer","Клиент"
"Customer Group","Группа клиента"
"Customer Name","Имя клиента"
"Customer\'s Current Activities","Текущая активность клиента"
"Date","Дата"
"Date of Birth","Дата рождения"
"Date Shipped","Дата отправки"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Логотип по умолчанию, который будет использоваться в PDF и HTML документах.<br />(jpeg, tiff, png)"
"Delete","Удалить"
"Description message","Сообщение для описания"
"Discount","Скидка"
"Discount ","Скидка"
"Discount :","Скидка:"
"Discount (%s)","Скидка ( %s)"
"Discount Amount","Величина скидки"
"Discount%s","Скидка%s"
"Display Order ID in Header","Отображать ИД заказа в Хэдере"
"Document","Документ"
"Edit","Редактировать"
"Edit Gift Messsage","Редактировать поздравительное сообщение"
"Edit Order #%s","Редактировать заказ #%s"
"Email","Электронный адрес (email)"
"Email Copy of Credit Memo","Копия письма о возврате платежа"
"Email Copy of Invoice","Копия письма со счётом"
"Email Copy of Shipment","Копия письма о доставке"
"Email Order Confirmation","Письмо (email) с подтверждением заказа"
"Enable","Включить"
"Enabled","Включено"
"Error to show in shopping cart","Ошибка для отображения в корзине покупок"
"Excl. Tax","Без налога"
"From","От"
"From Name","От имени"
"From:","От:"
"G.T. (Base)","Сумма (основная)"
"G.T. (Purchased)","Сумма (покупки)"
"Get shipping methods and rates","Получить методы доставки и цены"
"Gift","Подарок"
"Gift Certificate","Подарочный сертификат"
"Gift Message","Поздравительное сообщение"
"Gift Message for Entire Order","Поздравительное сообщение для всего заказа"
"Gift Message for this Order","Поздравительное сообщение для этого заказа"
"Grand Total","Итого к оплате"
"Grand Total to be charged","Итого к оплате"
"Guest","Гость"
"Hold","Отложить"
"Hold action is not available","Действие ""отложить"" недоступно"
"Hold order","Отложить заказ"
"ID","ИД"
"If empty, the default description above will be used","Если не заполнено, то будет использовано описание по умолчанию, показанное выше"
"If empty, the default error above will be used","Если не заполнено, то будет использована ошибка по умолчанию, показанная выше"
"Incl. Tax","Включая налог"
"Information","Информация"
"Invalid block: %s","Неверный блок: %s"
